"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 09:00","2020","05","03","09:00","17.4","","5.6","","45","","24","","12","","","M","98.42","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 10:00","2020","05","03","10:00","18.8","","7.7","","48","","24","","17","","","M","98.37","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 11:00","2020","05","03","11:00","19.4","","8.2","","48","","33","","20","","","M","98.36","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 12:00","2020","05","03","12:00","19.5","","6.4","","42","","31","","17","","","M","98.32","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 13:00","2020","05","03","13:00","20.3","","3.3","","32","","28","","22","","","M","98.30","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 14:00","2020","05","03","14:00","20.1","","2.2","","30","","28","","26","","","M","98.30","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 15:00","2020","05","03","15:00","19.7","","1.6","","30","","32","","31","","","M","98.31","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 16:00","2020","05","03","16:00","18.3","","2.4","","34","","33","","19","","","M","98.33","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 17:00","2020","05","03","17:00","17.0","","2.0","","36","","33","","21","","","M","98.38","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 18:00","2020","05","03","18:00","16.1","","3.0","","41","","35","","23","","","M","98.39","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 19:00","2020","05","03","19:00","13.4","","2.6","","48","","36","","18","","","M","98.43","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 20:00","2020","05","03","20:00","12.3","","2.1","","50","","35","","17","","","M","98.46","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 21:00","2020","05","03","21:00","11.7","","2.0","","51","","34","","18","","","M","98.47","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 22:00","2020","05","03","22:00","10.7","","2.0","","55","","33","","15","","","M","98.46","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-03 23:00","2020","05","03","23:00","9.9","","1.6","","56","","32","","13","","","M","98.47","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 00:00","2020","05","04","00:00","9.2","","2.0","","60","","32","","10","","","M","98.46","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 01:00","2020","05","04","01:00","8.7","","2.3","","64","","32","","17","","","M","98.47","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 02:00","2020","05","04","02:00","8.3","","2.2","","66","","31","","19","","","M","98.48","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 03:00","2020","05","04","03:00","7.7","","2.2","","68","","32","","21","","","M","98.51","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 04:00","2020","05","04","04:00","6.8","","2.5","","74","","32","","23","","","M","98.56","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 05:00","2020","05","04","05:00","6.0","","2.5","","78","","34","","21","","","M","98.65","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 06:00","2020","05","04","06:00","5.8","","2.5","","79","","33","","24","","","M","98.75","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 07:00","2020","05","04","07:00","5.8","","1.5","","74","","34","","32","","","M","98.85","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 08:00","2020","05","04","08:00","5.6","","1.6","","75","","34","","24","","","M","98.93","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 09:00","2020","05","04","09:00","6.0","","0.7","","69","","36","","24","","","M","99.00","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 10:00","2020","05","04","10:00","7.7","","0.8","","62","","35","","31","","","M","99.08","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 11:00","2020","05","04","11:00","7.3","","0.6","","62","","33","","25","","","M","99.15","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 12:00","2020","05","04","12:00","7.7","","0.8","","61","","34","","23","","","M","99.18","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 13:00","2020","05","04","13:00","8.2","","0.3","","57","","34","","28","","","M","99.21","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 14:00","2020","05","04","14:00","8.4","","-1.2","","51","","32","","37","","","M","99.26","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 15:00","2020","05","04","15:00","8.8","","-2.2","","46","","33","","26","","","M","99.20","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 16:00","2020","05","04","16:00","8.4","","-5.7","","36","","34","","36","","","M","99.25","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 17:00","2020","05","04","17:00","7.3","","-10.1","","28","","35","","40","","","M","99.24","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 18:00","2020","05","04","18:00","6.1","","-11.0","","28","","32","","29","","","M","99.29","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 19:00","2020","05","04","19:00","4.9","","-6.6","","43","","32","","22","","","M","99.38","","","","","","NA"
"-79.37","43.86","TORONTO BUTTONVILLE A","6158409","2020-05-04 20:00","2020","05","04","20:00","4.1","","-6.5","","46","","32","","18","","","M","99.40","","","","","","NA"
